raw_affiliation,affiliation_name,wikidata
"Human-Centered Computing and Extended Reality, Friedrich-Alexander University (FAU), Erlangen-Nuremberg, Germany",friedrich-alexander university (fau),https://www.wikidata.org/wiki/Q40025
"University of Cambridge, USA",university of cambridge,http://www.wikidata.org/entity/Q35794
"Saarland University, Germany",saarland university,http://www.wikidata.org/entity/Q700758
"Peking Union Medical College Hospital, Beijing, China",peking union medical college hospital,http://www.wikidata.org/entity/Q7161058
"Graduate School of Engineering Science, Osaka University, Osaka, Japan",osaka university,http://www.wikidata.org/entity/Q651233
"Department of Computer Science, University College London, UK",university college london,http://www.wikidata.org/entity/Q193196
"Aalto University, Finland",aalto university,http://www.wikidata.org/entity/Q300980
"School of Visual Arts, Virginia Tech., USA",school of visual arts,http://www.wikidata.org/entity/Q1279835
"HIT Lab NZ, University of Canterbury, New Zealand",university of canterbury,http://www.wikidata.org/entity/Q432475
"University of California, Santa Barbara, California, U.S.",university of california,http://www.wikidata.org/entity/Q622664
"University of North Carolina, Chapel Hill, NC, USA",university of north carolina,http://www.wikidata.org/entity/Q192334
"University of Science and Technology of China, Hefei, China",university of science and technology of china,http://www.wikidata.org/entity/Q1074103
"Università della Svizzera italiana, Lugano, Switzerland",università della svizzera italiana,http://www.wikidata.org/entity/Q689617
"New York University, New York, NY, USA",new york university,http://www.wikidata.org/entity/Q49210
"Nara Institute of Science and Technology, Nara, Japan",nara institute of science and technology,http://www.wikidata.org/entity/Q843253
"Xi'an Jiaotong-Liverpool University, Suzhou, China",xi'an jiaotong-liverpool university,http://www.wikidata.org/entity/Q13562485
"Ryukoku University, Kyoto, Japan",ryukoku university,http://www.wikidata.org/entity/Q1071862
"The University of Tokyo, Bunkyo City, Tokyo, Japan",the university of tokyo,http://www.wikidata.org/entity/Q7842
"University of Manitoba, Winnipeg, Canada",university of manitoba,http://www.wikidata.org/entity/Q1191833
"Human-Machine Interaction Lab, Huawei, Markham, Canada",human-machine interaction lab,https://www.wikidata.org/wiki/Q160120
"Facebook, Zurich, Switzerland",facebook,http://www.wikidata.org/entity/Q355
"SRI International, Princeton, NJ, USA",sri international,http://www.wikidata.org/entity/Q604924
"SenseTime Research and Tetras, Hong Kong, AI, Hong Kong",sensetime research and tetras,https://www.wikidata.org/wiki/Q55716258
"SenseTime Research, Hong Kong, AI, Hong Kong",sensetime research,https://www.wikidata.org/wiki/Q55716258
"State Key Lab of CAD&CG, Zhejiang University, Hangzhou, 310058, P. R. China",zhejiang university,http://www.wikidata.org/entity/Q197543
"University of Maryland, College Park, US",university of maryland,http://www.wikidata.org/entity/Q503415
"Graduate School of Information Science and Technology, the University of Tokyo, Tokyo, Japan",the university of tokyo,http://www.wikidata.org/entity/Q7842
"University of Texas, Dallas, Richardson, TX, USA",university of texas,http://www.wikidata.org/entity/Q49213
"University of Central Florida, Orlando, FL, USA",university of central florida,http://www.wikidata.org/entity/Q143451
"The Hockaday School, Dallas, TX, USA",the hockaday school,https://www.wikidata.org/wiki/Q5875496
"Univ. Rennes, Inria, IRISA, France",university rennes,https://www.wikidata.org/wiki/Q1987282
"University of Central Florida, USA",university of central florida,http://www.wikidata.org/entity/Q143451
"Univ. Rennes, INSA, IRISA, Inria, CNRS - France and IUF, France",university rennes,https://www.wikidata.org/wiki/Q1987282
